,Politicians,Countries
0,Mauricio Macri,argentina
1,Bidzina Ivanishvili,georgia
2,Sigmundur DavÌ_Ì¡ Gunnlaugsson,iceland
3,Ayad Allawi,iraq
4,Ali Abu al-Ragheb,jordan
5,Hamad bin Jassim bin Jaber Al Thani,qatar
6,Hamad bin Khalifa Al Thani,qatar
7,Salman bin Abdulaziz bin Abdulrahman Al Saud,saudi Arabia
8,Ahmad Ali al-Mirghani,sudan
9,Khalifa bin Zayed bin Sultan Al Nahyan,united Arab Emirates
10,Pavlo Lazarenko,ukraine
11,Petro Poroshenko,ukraine
12,"Prime Minister Ilham Aliyev's wife, children and sister",azerbaijan
13,SÌ_khbaataryn Batbold,mongolia
14,Malcolm Turnbull,australia
15,Deng Jiagui,china
16,Li Xiaolin,china
17,Arkady and Boris Rotenberg,russia
18,Sergey Roldugin,russia
19,Rami and Hafez Makhlouf,syria
20,Ian Cameron,united Kingdom
21,Alaa Mubarak,egypt
22,Mounir Majidi,morocco
23,"Mariam Safdar, Hasan and Hussain Nawaz Sharif",pakistan
24,John Addo Kufuor,ghana
25,Mohd Nazifuddin bin Mohd Najib,malaysia
26,Daniel MuÌ±oz,argentina
27,Juan Armando Hinojosa,mexico
28,Pilar de BorbÌ_n,spain
29,Jean-Claude N‰ÛªDa Ametchi,cote d'Ivoire
30,Clive Khulubuse Zuma,south Africa
31,Mamadie TourÌ©,guinea
32,Mohammad Mustafa,palestina
33,Pedro Delgado,ecuador
34,Stavros Papastavrou,greece
35,Jaynet DÌ©sirÌ©e Kabila Kyungu,Democratic Republic of Congo
36,Nurali Aliyev,kazakhstan
37,Riccardo Francolini,panama
38,CÌ©sar Almeyda,peru
39,Abdeslam Bouchouareb,algeria
40,JosÌ© Maria Botelho de Vasconcelos,angola
41,NÌ©stor Grindetti,argentina
42,Ang Vong Vathana,cambodia
43,JÌ©rÌ«me Cahuzac,france
44,Bjarni Benediktsson,iceland
45,ÌÒlÌ_f Nordal,iceland
46,Konrad Mizzi,malta
47,JoÌ£o Lyra,brazil
48,Galo Chiriboga,ecuador
49,Zsolt HorvÌÁth,hungary
50,Kalpana Rawal,kenya
51,PaweÅâ Piskorski,poland
52,Mohammad bin Naif bin Abdulaziz Al-Saud,saudi Arabia
53,Pamela Sharples,united Kingdom
54,Michael Mates,united Kingdom
55,JesÌ_s Villanueva,venezuela
56,Alfredo Ovalle RodrÌ_guez,chile
57,Ian Kirby,botswana
58,Bruno Jean-Richard Itoua,Democratic Republic of Congo
59,James Ibori,nigeria
60,Emmanuel Ndahiro,rwanda
61,Attan Shansonga,zambia
62,VÌ_ctor Cruz Weffer,venezuela
63,Anurag Kejriwal,india
64,Jasmine Li,china
65,IdalÌ©cio de Oliveira,brazil
66,Kojo Annan,ghana
67,Giuseppe Donaldo Nicosia,italy
68,CÌ©sar Rosenthal,honduras
69,Carlos GutiÌ©rrez Robayo,colombia
70,Mamadou Pouye,senegal
71,Micaela Domecq SolÌ_s-Beaumont,spain
72,Patrick Henri Devillers,china
73,Javier Molina Bonilla,ecuador
