,node_id,name,position
0,230574.0,Bidzina Ivanishvili,officer
1,238376.0,Mauricio Macri,officer
2,238396.0,Bjarni Benediktsson,officer
3,238383.0,King Salman bin Abdulaziz bin Abdulrahman Al Saud,officer
4,238392.0,Ahmad Ali al-Mirghani,officer
5,238380.0,Khalifa bin Zayed bin Sultan Al Nahyan,officer
6,127680.0,Petro Poroshenko,officer
7,237226.0,Petro Poroshenko,officer
8,112786.0,Li Xiaolin,officer
9,180390.0,Patrick Henri Devillers,officer
10,234985.0,Patrick Henri Devillers,officer
11,238367.0,Ian Cameron,officer
12,238394.0,Mounir Majidi,officer
13,238366.0,John Addo Kufuor,officer
14,238381.0,Juan Armando Hinojosa,officer
15,238371.0,Clive Khulubuse Zuma,officer
16,238378.0,Pedro Delgado,officer
17,238393.0,Galo Chiriboga,officer
18,238369.0,Stavros Papastavrou,officer
19,238361.0,Bruno Jean-Richard Itoua,officer
20,58322.0,Nurali Aliyev,officer
21,27655.0,Riccardo Francolini Arosemena,officer
22,238389.0,Konrad Mizzi,officer
23,238398.0,James Ibori,officer
24,238363.0,Emmanuel Ndahiro,officer
25,238370.0,Attan Shansonga,officer
26,238379.0,Anurag Kejriwal,officer
27,148184.0,Giuseppe Donaldo Nicosia,officer
28,238390.0,Mamadou Pouye,officer
29,46363.0,AYAD ALLAWI,officer
30,25207.0,LI XIAOLING,officer
31,205181.0,LI XIAOLING,officer
32,227745.0,LI XIAOLING,officer
33,76871.0,SERGEY ROLDUGIN,officer
34,93873.0,SERGEY ROLDUGIN,officer
35,202235.0,MICHAEL MATES,officer
36,68267.0,MR. KOJO ANNAN,officer
37,83602.0,MR. KOJO ANNAN,officer
38,114405.0,KOJO ANNAN,officer
39,181049.0,MOHD NAZIFUDDIN BIN MOHD NAJIB,officer
40,46866.0,GALO CHIRIBOGA,officer
41,152586.0,JAVIER MOLINA BONILLA,officer
42,236947.0,NURALI ALIYEV,officer
43,44064.0,RICCARDO FRANCOLINI,officer
44,117287.0,RICCARDO FRANCOLINI AROSEMENA,officer
45,231804.0,RICCARDO FRANCOLINI AROSEMENA,officer
46,16455.0,H.E. ANG VONG VATHANA,officer
47,120531.0,MR. ANURAG KEJRIWAL,officer
48,7079.0,DR. JAVIER MOLINA BONILLA,intermediary
49,8336.0, JOHN ADDO KUFUO,intermediary
50,4184.0, DR GALO CHIRIBOGA ZAMBRANO,intermediary
51,13005395.0,Bouchouareb Abdessalam,officer
52,13008071.0,Alaa Mohamed Hosny Mubarak,officer
53,15005501.0,Alfredo Ovalle Rodrguez,officer
54,12085272.0,MRS. YUSRA ALI ABU-RAGHEB,officer
55,,,officer
56,12018969.0,H.E. ANG VONG VATHANA,officer
57,,,officer
58,15007202.0,Boris Rotenberg,officer
59,,,officer
60,5007201.0,Arkady Rotenberg,officer
61,,,officer
62,15001201.0,Csar Almeyda,officer
63,,,officer
64,12140943.0,CESAR AUGUSTO ROSENTHAL HIDALGO,officer
65,,,officer
66,12114842.0,HECTOR DANIEL MUNOZ,officer
67,12160401.0,DENG Jiagui,officer
68,,,officer
69,13000967.0,Sheikh Abdul Aziz bin Jassim bin Hamad Al Thani,officer
70,,,officer
71,12173822.0,Ian Stuart Kirby,officer
72,12102652.0,Idalecio de Castro Rodrigues de Oliveira,officer
73,12149190.0,LI Jasmine,officer
74,,,officer
75,15001501.0,Mamadie Toure,officer
76,,,officer
77,13006286.0,Mariam Safdar,officer
78,,,officer
79,15001902.0,Hasan Nawaz Sharif,officer
80,,,officer
81,15001903.0,Hussain Nawaz Sharif,officer
82,15000901.0,Micaela Domecq Sols-Beaumont,officer
83,12085816.0,Pavel Lazarenko,officer
84,,,officer
85,12135740.0,PAWEL BARTLOMIEJ PISKORSKI,officer
86,,,officer
87,15000601.0,Pilar de Borbn,officer
88,,,officer
89,13000422.0,Leyla Ilham Qizi Aliyeva,officer
90,13007239.0,Arzu Ilham Qizi Aliyeva,officer
91,,,officer
92,12156788.0,Hafez Makhlouf,officer
93,,,officer
94,12034565.0,RAMI MAKHLOUF,officer
95,,,officer
96,12196468.0,Mohammad Bin Naif Bin Abdulaziz Al Saud,officer
97,,,officer
98,15004501.0,King Salman bin Abdulaziz bin Abdulrahman Al Saud,officer
99,,,officer
100,12161442.0,Sigmundur David Gunnlaugsson,officer
101,15003201.0,Vctor Cruz Weffer,officer
102,,,officer
103,12219550.0,Dr. Zsolt HORVATH,officer
104,,,officer
105,15006701.0,îlf Nordal,officer
